,Product,URL,PDF_Link,Unnamed: 3
91,SAP Customer Checkout,http://www.sap.com/products/pos-customer-checkout.html,https://www.sap.com/docs/download/2018/10/3092bdf5-257d-0010-87a3-c30de2ffd8ff.pdf,
93,SAP Customer Identity and Access Management for B2B,http://www.sap.com/products/customer-identity-access-management-b2b.html,https://www.sap.com/docs/download/2019/04/b688a667-497d-0010-87a3-c30de2ffd8ff.pdf,
94,SAP Customer Identity and Access Management for B2C,http://www.sap.com/products/customer-identity.html,https://www.sap.com/docs/download/2020/01/6291a6fc-817d-0010-87a3-c30de2ffd8ff.pdf,
95,SAP Dairy Management by msg,http://www.sap.com/products/dairy-management.html,https://www.sap.com/docs/download/2020/02/4cf1a1df-867d-0010-87a3-c30de2ffd8ff.pdf,
96,SAP Data Custodian,http://www.sap.com/products/data-custodian.html,https://www.sap.com/docs/download/2018/03/8ab2ff72-f67c-0010-82c7-eda71af511fa.pdf,
97,SAP Data Hub,http://www.sap.com/products/data-hub.html,https://www.sap.com/docs/download/2019/07/a26cebe0-5b7d-0010-87a3-c30de2ffd8ff.pdf,
98,SAP Data Intelligence,http://www.sap.com/products/data-intelligence.html,https://www.sap.com/docs/download/2019/07/a26cebe0-5b7d-0010-87a3-c30de2ffd8ff.pdf,
100,SAP Data Mapping and Protection by BigID,http://www.sap.com/products/data-mapping-protection.html,https://www.sap.com/docs/download/2019/10/1a894b3e-6e7d-0010-87a3-c30de2ffd8ff.pdf,
102,SAP Data Quality Management microservices for location data,http://www.sap.com/products/data-quality-management.html,https://www.sap.com/docs/download/2018/01/a05a0163-ec7c-0010-82c7-eda71af511fa.pdf,
103,SAP Data Services,http://www.sap.com/products/data-services.html,https://www.sap.com/docs/download/2015/12/b4cf1d28-507c-0010-82c7-eda71af511fa.pdf,
106,SAP Digital Asset Management by OpenText,http://www.sap.com/products/digital-asset-management.html,https://www.sap.com/docs/download/2017/11/345689fa-dd7c-0010-82c7-eda71af511fa.pdf,
107,SAP Digital Boardroom,http://www.sap.com/products/board-room.html,https://www.sap.com/docs/download/2016/09/8672f770-8b7c-0010-82c7-eda71af511fa.pdf,
108,Digital Employee Experience,http://www.sap.com/products/digital-employee-experience-it.html,https://www.sap.com/docs/download/2020/02/520c18cd-847d-0010-87a3-c30de2ffd8ff.pdf,
113,SAP Dynamic Authorization Management by NextLabs,http://www.sap.com/products/access-control-authorization-mgmt.html,https://www.sap.com/docs/download/2018/05/7cfcd9b5-017d-0010-87a3-c30de2ffd8ff.pdf,
114,SAP Dynamic Pricing by GK,http://www.sap.com/products/dynamic-pricing-gk.html,https://www.sap.com/docs/download/2019/07/28e47a19-5a7d-0010-87a3-c30de2ffd8ff.pdf,
118,SAP Email 365,http://www.sap.com/products/email-365.html,https://www.sap.com/docs/download/2015/09/fa029fa8-437c-0010-82c7-eda71af511fa.pdf,
121,SAP Enterprise Architecture Designer,http://www.sap.com/products/enterprise-architecture-designer.html,https://www.sap.com/docs/download/2017/08/283d8c99-ca7c-0010-82c7-eda71af511fa.pdf,
122,SAP Enterprise Consent and Preference Management,http://www.sap.com/products/customer-consent.html,https://www.sap.com/docs/download/2020/02/9e7ba940-837d-0010-87a3-c30de2ffd8ff.pdf,
132,SAP Extended Enterprise Content Management by OpenText,http://www.sap.com/products/enterprise-content-management.html,https://www.sap.com/docs/download/2016/03/b462146e-627c-0010-82c7-eda71af511fa.pdf,
133,SAP Extended Warehouse Management,http://www.sap.com/products/extended-warehouse-management.html,https://www.sap.com/docs/download/2017/05/96922a8b-bd7c-0010-82c7-eda71af511fa.pdf,
134,SAP Farm Management by Vistex ,http://www.sap.com/products/farm-management.html,https://www.sap.com/docs/download/2017/01/a601cc00-a57c-0010-82c7-eda71af511fa.pdf,
135,SAP Field Service Management,http://www.sap.com/products/field-service-management.html,https://www.sap.com/docs/download/2018/08/a430c37b-197d-0010-87a3-c30de2ffd8ff.pdf,
137,SAP Fieldglass Services Procurement,http://www.fieldglass.com/solutions/enterprise/services-procurement,https://www.fieldglass.com/sites/default/files/2018-03/SAP-Fieldglass-Services-Procurement-streamlining-statement-of-work-engagements.pdf,
138,SAP Fieldglass Vendor Management System,http://www.fieldglass.com/solutions/enterprise/vendor-management-software,https://www.fieldglass.com/sites/default/files/2018-03/SAP-Fieldglass-Vendor-Management-System-capabilities-benefits-overview.pdf,
142,SAP Fiori,http://www.sap.com/products/fiori.html,https://www.sap.com/docs/download/2019/01/008dc2ef-387d-0010-87a3-c30de2ffd8ff.pdf,
143,SAP Fortify by Micro Focus,http://www.sap.com/products/fortify.html,https://www.sap.com/docs/download/2014/05/d2e64b3b-437c-0010-82c7-eda71af511fa.pdf,
145,SAP Global Trade Services,http://www.sap.com/products/global-trade-management.html,https://www.sap.com/docs/download/2018/12/b67ba10b-307d-0010-87a3-c30de2ffd8ff.pdf,
146,SAP Grower Management for Perishables by Vistex,http://www.sap.com/products/grower-management-for-perishables.html,https://www.sap.com/docs/download/2017/01/366261fb-a17c-0010-82c7-eda71af511fa.pdf,
147,SAP HANA,http://www.sap.com/products/hana.html,https://www.sap.com/docs/download/2015/04/9629f881-217c-0010-82c7-eda71af511fa.pdf,
148,SAP HANA Enterprise Cloud,http://www.sap.com/products/hana-enterprise-cloud.html,https://www.sap.com/docs/download/2017/04/4ae6578f-b67c-0010-82c7-eda71af511fa.pdf,
151,SAP Incentive Administration by Vistex,http://www.sap.com/products/incentive-administration.html,https://www.sap.com/docs/download/2018/02/504ccd70-f37c-0010-82c7-eda71af511fa.pdf,
152,SAP Information Lifecycle Management,http://www.sap.com/products/information-lifecycle-management.html,https://www.sap.com/docs/download/2013/08/186a2502-6a7d-0010-87a3-c30de2ffd8ff.pdf,
153,SAP Information Steward,http://www.sap.com/products/data-profiling-steward.html,https://www.sap.com/docs/download/2019/02/6a5dbc59-3b7d-0010-87a3-c30de2ffd8ff.pdf,
156,SAP Integrated Business Planning,http://www.sap.com/products/integrated-business-planning.html,https://www.sap.com/docs/download/2019/09/26545a00-677d-0010-87a3-c30de2ffd8ff.pdf,
158,SAP Intelligent Robotic Process Automation,http://www.sap.com/products/robotic-process-automation.html,https://www.sap.com/docs/download/2019/06/ae093f08-567d-0010-87a3-c30de2ffd8ff.pdf,
160,SAP Intercompany Financial Hub by BlackLine,http://www.sap.com/products/intercompany-financial-hub-blackline.html,https://www.sap.com/docs/download/2018/12/40e7ab20-2f7d-0010-87a3-c30de2ffd8ff.pdf,
161,SAP Invoice Management by OpenText,http://www.sap.com/products/opentext-invoice-management.html,https://www.sap.com/docs/download/2015/10/5c8f5b11-497c-0010-82c7-eda71af511fa.pdf,
162,SAP IQ,http://www.sap.com/products/sybase-iq-big-data-management.html,https://www.sap.com/docs/download/2017/06/e8d5fc54-be7c-0010-82c7-eda71af511fa.pdf,
164,SAP Knowledge Central by MindTouch,http://www.sap.com/products/knowledge-management.html,https://www.sap.com/docs/download/2016/05/86d765b3-707c-0010-82c7-eda71af511fa.pdf,
165,SAP Landscape Management,http://www.sap.com/products/landscape-management.html,https://www.sap.com/docs/download/2015/10/52c8f3e5-487c-0010-82c7-eda71af511fa.pdf,
171,SAP LoadRunner by Micro Focus,http://www.sap.com/products/loadrunner.html,https://www.sap.com/docs/download/2015/04/f6994e35-427c-0010-82c7-eda71af511fa.pdf,
172,SAP Logistics Business Network,http://www.sap.com/products/logistics-business-network.html,https://www.sap.com/docs/download/2019/02/22b3264b-457d-0010-87a3-c30de2ffd8ff.pdf,
173,SAP Loss Prevention by Fujitsu,http://www.sap.com/products/loss-prevention.html,https://www.sap.com/docs/download/2019/10/3cf7022d-6f7d-0010-87a3-c30de2ffd8ff.pdf,
174,SAP Lumira,http://www.sap.com/products/lumira.html,https://www.sap.com/docs/download/2017/09/ea814613-d67c-0010-82c7-eda71af511fa.pdf,
180,SAP Master Data Governance,http://www.sap.com/products/master-data-governance.html,https://www.sap.com/docs/download/2019/02/9e2ac0ee-3c7d-0010-87a3-c30de2ffd8ff.pdf,
181,SAP Master Data Governance EAM extension by Utopia,http://www.sap.com/products/master-data-governance-eam.html,https://www.sap.com/docs/download/2015/05/e2e1a3e6-257c-0010-82c7-eda71af511fa.pdf,
182,SAP Master Data Governance retail and fashion management extension,http://www.sap.com/products/master-data-governance-fashion-retail.html,https://www.sap.com/docs/download/2016/07/e42e71f0-7c7c-0010-82c7-eda71af511fa.pdf,
183,SAP Meat and Fish Management,http://www.sap.com/products/management-meat-fish.html,https://www.sap.com/docs/download/2017/06/828b13c1-c37c-0010-82c7-eda71af511fa.pdf,
189,SAP Omnichannel Point-of-Sale by GK,http://www.sap.com/products/omnichannel-pos.html,https://www.sap.com/docs/download/2020/01/7e2017b3-7d7d-0010-87a3-c30de2ffd8ff.pdf,
190,SAP Operational Process Intelligence,http://www.sap.com/products/business-process-operational-intelligence.html,https://www.sap.com/docs/download/2017/10/8c55601c-d97c-0010-82c7-eda71af511fa.pdf,
191,SAP Paybacks and Chargebacks by Vistex,http://www.sap.com/products/paybacks-chargebacks.html,https://www.sap.com/docs/download/2018/06/da7d3ec6-0c7d-0010-87a3-c30de2ffd8ff.pdf,
192,SAP Payment Engine,http://www.sap.com/products/payment-engine.html,https://www.sap.com/docs/download/2014/08/5091fdd6-6d7c-0010-82c7-eda71af511fa.pdf,
193,SAP People Connect 365,http://www.sap.com/products/people-connect-365.html,https://www.sap.com/docs/download/2017/10/e6a030ad-d77c-0010-82c7-eda71af511fa.pdf,
198,SAP Privacy Management by BigID,http://www.sap.com/products/privacy-management.html,https://www.sap.com/docs/download/2019/11/8e3560a2-707d-0010-87a3-c30de2ffd8ff.pdf,
199,SAP Process Control,http://www.sap.com/products/internal-control.html,https://www.sap.com/docs/download/2019/04/d03e8ba2-4a7d-0010-87a3-c30de2ffd8ff.pdf,
201,SAP Process Orchestration,http://www.sap.com/products/process-orchestration.html,https://www.sap.com/docs/download/2012/03/ca20a1ac-6d7c-0010-82c7-eda71af511fa.pdf,
203,SAP Product Content Hub,http://www.sap.com/products/product-content-hub.html,https://www.sap.com/docs/download/2019/04/3a2e3162-4a7d-0010-87a3-c30de2ffd8ff.pdf,
204,SAP Profitability and Performance Management,http://www.sap.com/products/profitability-and-performance-management.html,https://www.sap.com/docs/download/2018/10/569e8135-227d-0010-87a3-c30de2ffd8ff.pdf,
205,SAP Push Notification 365,http://www.sap.com/products/push-notification-365.html,https://www.sap.com/docs/download/2019/10/d6c030a2-6d7d-0010-87a3-c30de2ffd8ff.pdf,
206,SAP Quality Center by Micro Focus,http://www.sap.com/products/quality-center.html,https://www.sap.com/docs/download/2017/12/8e10cc2b-e77c-0010-82c7-eda71af511fa.pdf,
209,SAP Qualtrics Employee Lifecycle,http://www.sap.com/products/employee-lifecycle.html,https://www.sap.com/docs/download/2019/10/a0a296d2-6c7d-0010-87a3-c30de2ffd8ff.pdf,
215,SAP Replication Server,http://www.sap.com/products/data-replication-integration.html,https://www.sap.com/docs/download/2016/07/0ac6652c-807c-0010-82c7-eda71af511fa.pdf,
217,SAP Revenue Recognition,http://www.sap.com/products/revenue-recognition.html,https://www.sap.com/docs/download/2018/12/de397446-2d7d-0010-87a3-c30de2ffd8ff.pdf,
218,SAP Risk Management,http://www.sap.com/products/risk-management.html,https://www.sap.com/docs/download/2014/09/b2ad0717-187d-0010-87a3-c30de2ffd8ff.pdf,
219,SAP Rural Sourcing Management,http://www.sap.com/products/agriculture-supply-chain-mgmt.html,https://www.sap.com/docs/download/2017/09/e6b11574-d47c-0010-82c7-eda71af511fa.pdf,
225,SAP S/4HANA for advanced compliance reporting,http://www.sap.com/products/advanced-compliance-reporting.html,https://www.sap.com/docs/download/2017/06/26e86344-c27c-0010-82c7-eda71af511fa.pdf,
226,SAP S/4HANA for product compliance,http://www.sap.com/products/product-compliance.html,https://www.sap.com/docs/download/2016/01/ea015086-577c-0010-82c7-eda71af511fa.pdf,
232,SAP Self-Service Accelerator for Utilities by SEW,http://www.sap.com/products/self-service-accelerator.html,https://www.sap.com/docs/download/2018/01/f805f775-ef7c-0010-82c7-eda71af511fa.pdf,
233,SAP Service Cloud,http://www.sap.com/products/crm/customer-service.html,https://www.sap.com/docs/download/2018/07/c6c2c37b-197d-0010-87a3-c30de2ffd8ff.pdf,
237,SAP Social Channels 365,http://www.sap.com/products/social-channels-365.html,https://www.sap.com/docs/download/2019/02/a8d7f5b6-3c7d-0010-87a3-c30de2ffd8ff.pdf,
240,SAP StormRunner Load by Micro Focus,http://www.sap.com/products/stormrunner-load.html,https://www.sap.com/docs/download/2019/05/bea5b09f-507d-0010-87a3-c30de2ffd8ff.pdf,
242,SAP SuccessFactors Compensation,http://www.sap.com/products/compensation-management.html,https://www.sap.com/docs/download/2017/09/5ac6b828-d67c-0010-82c7-eda71af511fa.pdf,
243,SAP SuccessFactors Document Management by OpenText ,http://www.sap.com/products/intelligent-document-management.html,https://www.sap.com/docs/download/2019/03/c45d4d2e-447d-0010-87a3-c30de2ffd8ff.pdf,
244,SAP SuccessFactors Employee Central,http://www.sap.com/products/employee-central-hris.html,https://www.sap.com/docs/download/2018/06/eeadd8d4-0b7d-0010-87a3-c30de2ffd8ff.pdf,
245,SAP SuccessFactors Employee Central Payroll,http://www.sap.com/products/employee-central-payroll.html,https://www.sap.com/docs/download/2018/05/608d73f8-6e7d-0010-87a3-c30de2ffd8ff.pdf,
246,SAP SuccessFactors Employee Central Service Center,http://www.sap.com/products/employee-central-service-center.html,https://www.sap.com/docs/download/2018/10/1eaed831-6f7d-0010-87a3-c30de2ffd8ff.pdf,
247,SAP SuccessFactors Learning,http://www.sap.com/products/corporate-lms.html,https://www.sap.com/docs/download/2018/05/027873f8-6e7d-0010-87a3-c30de2ffd8ff.pdf,
248,SAP SuccessFactors Onboarding,http://www.sap.com/products/employee-onboarding.html,https://www.sap.com/docs/download/2018/05/982b5031-6f7d-0010-87a3-c30de2ffd8ff.pdf,
249,SAP SuccessFactors Performance & Goals,http://www.sap.com/products/performance-goals.html,https://www.sap.com/docs/download/2019/10/300f6597-697d-0010-87a3-c30de2ffd8ff.pdf,
253,SAP SuccessFactors Succession & Development,http://www.sap.com/products/succession-development.html,https://www.sap.com/docs/download/2017/09/9895a128-d67c-0010-82c7-eda71af511fa.pdf,
254,SAP SuccessFactors Visa and Permits Management,http://www.sap.com/products/work-visa-permits-management.html,https://www.sap.com/docs/download/2018/07/34efc69d-0e7d-0010-87a3-c30de2ffd8ff.pdf,
255,SAP SuccessFactors Workforce Analytics,http://www.sap.com/products/workforce-analytics.html,https://www.sap.com/docs/download/2017/06/12e85371-c37c-0010-82c7-eda71af511fa.pdf,
256,SAP SuccessFactors Workforce Planning,http://www.sap.com/products/workforce-planning.html,https://www.sap.com/docs/download/2018/05/f2c24f31-6f7d-0010-87a3-c30de2ffd8ff.pdf,
258,SAP Supply Base Optimization,http://www.sap.com/products/sourcing-simulation.html,https://www.sap.com/docs/download/2018/07/86ef363c-127d-0010-87a3-c30de2ffd8ff.pdf,
261,SAP Time and Attendance Management by WorkForce Software,http://www.sap.com/products/time-attendance-management-by-workforce.html,https://www.sap.com/docs/download/2015/11/c6f1b81a-4d7c-0010-82c7-eda71af511fa.pdf,
262,SAP Time Management by Kronos,http://www.sap.com/products/time-management.html,https://www.sap.com/docs/download/2019/01/5edbed40-337d-0010-87a3-c30de2ffd8ff.pdf,
270,SAP U.S. Benefits Administration by Benefitfocus,http://www.sap.com/products/benefits-management.html,https://www.sap.com/docs/download/2015/07/b057351e-377c-0010-82c7-eda71af511fa.pdf,
273,SAP Watch List Screening,http://www.sap.com/products/watch-list-screening.html,https://www.sap.com/docs/download/2018/07/a2aacf2f-0e7d-0010-87a3-c30de2ffd8ff.pdf,
276,SAP Workforce Forecasting and Scheduling by WorkForce Software,http://www.sap.com/products/workforce-forecasting-scheduling.html,https://www.sap.com/docs/download/2016/11/6ac07147-957c-0010-82c7-eda71af511fa.pdf,
277,SAP Yard Logistics,http://www.sap.com/products/yard-logistics.html,https://www.sap.com/docs/download/2015/10/069a65d3-457c-0010-82c7-eda71af511fa.pdf,
